Internal_ID,Transactions_Start_Date,Transactions_End_Date,User_Total_Months,Total_Transactions,Monthly_Transactions,Total_Spending,Monthly_Spending,User_Spending_Behavior,Essential,Non-Essential,NonEssential_Percentage,NonEssential_Category,Nonessential_Index,Num_Months_Paid_Notontime_Normalized,Ontime_Category,Ontime_index,Monthly_Spending_Percentage_of_Limit,Spending_to_Limit_Category,Spending_to_Limit_index,health_index,overall_health,Cluster,Idade,Sexo,Cidade,Limite_Total,Top_Cate,Top_Cate_Total
1,2019-07-10,2020-05-05,9.856465225158628,58,5.8844625,7959.579999999997,807.5491383749996,MediumSpender,20,38,0.6551724137931034,MediumNonEssential,0.3,0.0,LowNotontime,0.1,0.09647975757575757,Low_Spending_to_Limit,0.1,0.12,high,Group 1,42,F,SAO PAULO,7500.0,SERVICO,3752.710000000001
2,2019-04-04,2020-04-18,12.484855951867594,52,4.1650460526315785,10642.749999999996,852.4527668585524,MediumSpender,11,41,0.7884615384615384,MediumNonEssential,0.3,0.8571428571428571,MediumNotontime,0.3,0.2212629937629937,Low_Spending_to_Limit,0.1,0.26,medium,Group 1,29,F,S BERNARDO CAMPO,3700.0,SERVICO,4691.460000000001
3,2019-08-06,2020-05-07,9.035093123062076,266,29.44075909090909,37001.81000000001,4095.343511795456,HighSpender,111,155,0.5827067669172933,MediumNonEssential,0.3,0.0,LowNotontime,0.1,0.10511877840909092,Low_Spending_to_Limit,0.1,0.12,high,Group 2,45,M,RIO DE JANEIRO,35200.0,RESTAURANTE,7888.920000000001
4,2019-06-02,2020-05-07,11.170660588513114,29,2.5960863970588237,6096.4000000000015,545.7510727941177,LowSpender,12,17,0.5862068965517241,MediumNonEssential,0.3,0.0,LowNotontime,0.1,0.10268953182394976,Low_Spending_to_Limit,0.1,0.12,high,Group 1,32,F,SAO PAULO,9874.206896551725,VESTUARIO,2124.92
5,2019-04-08,2020-04-18,12.353436415532146,39,3.1570162898936163,6749.5,546.3661909906915,LowSpender,10,29,0.7435897435897436,MediumNonEssential,0.3,0.0,LowNotontime,0.1,0.14609307359307358,Low_Spending_to_Limit,0.1,0.12,high,Group 1,44,F,GUARULHOS,4200.0,CIA AEREAS,1744.1100000000001
6,2019-04-05,2020-05-05,13.010534097209387,284,21.82846590909091,19816.849999999995,1523.138854403409,MediumSpender,131,153,0.5387323943661971,LowNonEssential,0.1,0.0,LowNotontime,0.1,0.39738697357792174,Medium_Spending_to_Limit,0.3,0.14,medium,Group 1,31,M,SAO PAULO,4871.295774647887,SERVICO,6455.599999999997
7,2019-10-23,2020-03-18,4.829667960327726,167,34.57794642857143,19560.600000000006,4050.092089285716,HighSpender,86,81,0.4850299401197605,LowNonEssential,0.1,3.0,HighNotontime,0.5,0.4012243881287507,Medium_Spending_to_Limit,0.3,0.42,low,Group 3,33,M,SAO PAULO,9639.850299401198,M.O.T.O.,6012.45
8,2019-04-09,2020-04-26,12.583420604119182,118,9.377418407310703,5623.100000000001,446.865774967363,LowSpender,11,107,0.9067796610169492,HighNonEssential,0.5,1.6,MediumNotontime,0.3,0.9401496846846844,High_Spending_to_Limit,0.5,0.36,low,Group 1,20,F,SAO PAULO,497.45762711864404,SERVICO,4076.24
9,2019-04-01,2020-04-16,12.517710835951455,81,6.470831692913387,7699.550000000001,615.0924958169293,LowSpender,12,69,0.8518518518518519,HighNonEssential,0.5,3.4285714285714284,HighNotontime,0.5,0.15586133603238864,Low_Spending_to_Limit,0.1,0.42,low,Group 1,47,F,SAO PAULO,3800.0,M.O.T.O.,1967.7500000000005
10,2019-04-03,2020-05-06,13.109098749460975,123,9.382796052631578,11876.729999999996,905.9913444078944,MediumSpender,19,104,0.8455284552845529,HighNonEssential,0.5,1.6,MediumNotontime,0.3,0.18049741641337386,Low_Spending_to_Limit,0.1,0.28,medium,Group 1,37,F,CAMPO LIMPO PAULISTA,4700.0,SERVICO,4582.620000000001
11,2019-04-01,2020-05-03,13.076243865377114,681,52.07917556532664,30618.980000000065,2341.573032380658,HighSpender,286,395,0.580029368575624,MediumNonEssential,0.3,2.4000000000000004,MediumNotontime,0.3,0.5482555792080863,High_Spending_to_Limit,0.5,0.34,low,Group 3,34,F,SAO PAULO,4663.4419970631425,RESTAURANTE,8049.3699999999935
12,2019-06-10,2020-04-27,10.579272675003594,256,24.198260869565214,21515.450000000008,2033.7362180706527,MediumSpender,43,213,0.83203125,HighNonEssential,0.5,1.0909090909090908,MediumNotontime,0.3,0.5122726190476191,High_Spending_to_Limit,0.5,0.36,low,Group 1,28,F,SANTO ANDRE,4200.0,VESTUARIO,4324.48
13,2019-04-05,2020-05-07,13.076243865377114,104,7.953354271356784,9328.859999999997,713.4204666143214,LowSpender,5,99,0.9519230769230768,HighNonEssential,0.5,0.0,LowNotontime,0.1,0.15865408163265307,Low_Spending_to_Limit,0.1,0.14,medium,Group 1,32,F,SAO PAULO,4200.0,AGENCIA DE TUR,3800.0
14,2019-04-03,2020-05-03,13.010534097209387,78,5.995142045454545,13206.959999999995,1015.0974511363632,MediumSpender,33,45,0.5769230769230769,LowNonEssential,0.1,4.285714285714286,HighNotontime,0.5,0.3493904761904762,Medium_Spending_to_Limit,0.3,0.42,low,Group 1,36,F,SAO PAULO,2700.0,VESTUARIO,4381.589999999999
15,2019-04-01,2020-04-27,12.87911456087394,108,8.385669642857144,7762.949999999999,602.7549458705356,LowSpender,52,56,0.5185185185185185,LowNonEssential,0.1,0.0,LowNotontime,0.1,0.20885413596288074,Low_Spending_to_Limit,0.1,0.1,high,Group 1,30,F,SAO PAULO,3440.740740740741,VAREJO,2029.5400000000002
16,2019-04-04,2020-05-04,13.010534097209387,208,15.987045454545456,14167.999999999995,1088.9637499999997,MediumSpender,86,122,0.5865384615384616,MediumNonEssential,0.3,0.0,LowNotontime,0.1,0.184,Low_Spending_to_Limit,0.1,0.12,high,Group 1,35,F,OSASCO,5500.0,VAREJO,3435.25
17,2019-04-13,2020-05-07,12.813404792706216,246,19.198644230769233,140348.2199999999,10953.233919519223,HighSpender,84,162,0.6585365853658537,MediumNonEssential,0.3,0.0,LowNotontime,0.1,0.2506218214285715,Low_Spending_to_Limit,0.1,0.12,high,Group 2,43,M,LOUVEIRA,40000.0,CIA AEREAS,44794.12
18,2019-04-01,2020-05-07,13.20766340171256,504,38.159664179104475,14225.999999999976,1077.101949626864,MediumSpender,45,459,0.9107142857142856,HighNonEssential,0.5,1.8461538461538465,MediumNotontime,0.3,0.2783953033268102,Low_Spending_to_Limit,0.1,0.28,medium,Group 1,27,M,SAO PAULO,3650.0,SERVICO,6360.279999999999
19,2019-04-17,2020-04-29,12.419146183699873,85,6.844270833333333,5185.399999999999,417.53272916666657,LowSpender,15,70,0.8235294117647058,HighNonEssential,0.5,0.0,LowNotontime,0.1,0.28089924160346696,Low_Spending_to_Limit,0.1,0.14,medium,Group 1,51,M,ITAQUAQUECETUBA,1420.0,VAREJO,1889.8700000000001
21,2019-04-03,2019-11-05,7.096654962114211,136,19.163958333333333,16445.809999999998,2317.4030705729165,HighSpender,34,102,0.75,MediumNonEssential,0.3,5.1428571428571415,HighNotontime,0.5,0.2740968333333333,Low_Spending_to_Limit,0.1,0.4,low,Group 3,30,M,SAO PAULO,7500.0,RESTAURANTE,4658.059999999999
22,2019-04-04,2020-05-05,13.04338898129325,192,14.720100755667508,18676.989999999987,1431.9123677739285,MediumSpender,51,141,0.734375,MediumNonEssential,0.3,0.0,LowNotontime,0.1,0.2838448328267477,Low_Spending_to_Limit,0.1,0.12,high,Group 1,28,M,SAO PAULO,4700.0,VESTUARIO,5008.61
23,2019-04-06,2020-04-29,12.780549908622351,107,8.37209672236504,25350.47,1983.5195027795626,MediumSpender,69,38,0.35514018691588783,LowNonEssential,0.1,1.6,MediumNotontime,0.3,0.20419226741844546,Low_Spending_to_Limit,0.1,0.24,medium,Group 1,53,F,SAO PAULO,9550.0,VAREJO,7947.819999999999
24,2019-04-04,2020-05-04,13.010534097209387,106,8.147244318181817,9873.889999999998,758.9150396306816,MediumSpender,70,36,0.33962264150943394,LowNonEssential,0.1,0.0,LowNotontime,0.1,0.08297386554621848,Low_Spending_to_Limit,0.1,0.1,high,Group 1,36,M,SAO PAULO,8500.0,VESTUARIO,1827.8799999999999
25,2019-11-15,2020-05-01,5.519620526088833,186,33.697968749999994,12347.369999999988,2236.9961742187475,HighSpender,65,121,0.6505376344086021,MediumNonEssential,0.3,0.0,LowNotontime,0.1,0.20751882352941173,Low_Spending_to_Limit,0.1,0.12,high,Group 3,37,M,SAO PAULO,8500.0,SUPERMERCADOS,2513.1000000000004
26,2019-04-01,2020-05-07,13.20766340171256,182,13.779878731343286,17037.559999999998,1289.9753333955225,MediumSpender,63,119,0.6538461538461539,MediumNonEssential,0.3,0.0,LowNotontime,0.1,0.18722593406593405,Low_Spending_to_Limit,0.1,0.12,high,Group 1,28,F,SAO PAULO,6500.0,CIA AEREAS,5728.610000000001
27,2019-10-18,2020-05-05,6.5709768167724185,146,22.21891875,45598.36000000002,6939.357917625002,HighSpender,76,70,0.4794520547945205,LowNonEssential,0.1,1.7142857142857142,MediumNotontime,0.3,0.3198831537809306,Medium_Spending_to_Limit,0.3,0.28,low,Group 3,39,M,SAO PAULO,17785.479452054795,VAREJO,13769.049999999997
28,2019-04-01,2020-04-28,12.9119694449578,259,20.058907442748094,15918.579999999993,1232.854528339694,MediumSpender,59,200,0.7722007722007722,MediumNonEssential,0.3,2.4000000000000004,MediumNotontime,0.3,0.4571364470385461,Medium_Spending_to_Limit,0.3,0.30000000000000004,low,Group 1,32,F,SAO PAULO,2750.19305019305,SERVICO,4409.470000000001
29,2019-04-24,2020-05-07,12.452001067783732,66,5.30035290237467,13320.169999999998,1069.7212381761212,MediumSpender,22,44,0.6666666666666666,MediumNonEssential,0.3,3.4285714285714284,HighNotontime,0.5,0.3148976359338061,Medium_Spending_to_Limit,0.3,0.44,low,Group 1,29,F,EMBU DAS ARTES,4700.0,VAREJO,4677.01
